,lemma,original_form,tag
119,*,abandoning,ZN-S3-PP----
137,*,abbreviated,ZA----PA----
144,*,abdicated,ZA----PA----
152,*,abducting,ZN-S3-PP----
162,*,abhorring,ZN-S3-PP----
182,*,abolished,ZA----PA----
190,*,abominated,ZA----PA----
198,*,aborting,ZN-S3-PP----
205,*,abounding,ZN-S3-PP----
215,*,abridged,ZA----PA----
229,*,absconding,ZN-S3-PP----
234,*,abseiling,ZN-S3-PP----
244,*,absolved,ZA----PA----
250,*,absorbing,ZN-S3-PP----
257,*,abstaining,ZN-S3-PP----
265,*,abstracting,ZN-S3-PP----
273,*,abusing,ZA----PP----
291,*,accelerated,ZA----PA----
302,*,accentuated,ZA----PA----
310,*,accepting,ZN-S3-PP----
328,*,acclimated,ZA----PA----
336,*,acclimatised,ZA----PA----
345,*,accommodated,ZA----PA----
353,*,accompanied,ZA----PA----
358,*,accomplished,ZA----PA----
369,*,accosting,ZN-S3-PP----
381,*,accrediting,ZN-S3-PP----
388,*,accrued,ZA----PA----
401,*,accused,ZA----PA----
408,*,accustoming,ZN-S3-PP----
419,*,ached,ZA----PA----
431,*,acidified,ZA----PA----
438,*,acknowledged,ZN-S3DPA----
449,*,acquainting,ZN-S3-PP----
458,*,acquired,ZA----PA----
483,*,activated,ZA----PA----
495,*,actuated,ZA----PA----
508,*,adapting,ZN-S3-PP----
517,*,adding,ZN-S3-PP----
531,*,addled,ZA----PA----
538,*,addressing,ZA----PP----
542,*,adduced,ZA----PA----
552,*,adhered,ZA----PA----
565,*,adjourning,ZN-S3-PP----
569,*,adjudged,ZA----PA----
581,*,adjusting,ZN-S3-PP----
592,*,administering,ZN-S3-PP----
600,*,admired,ZA----PA----
612,*,admonished,ZA----PA----
620,*,adopting,ZN-S3-PP----
625,*,adored,ZA----PA----
630,*,adorning,ZN-S3-PP----
636,*,adsorbing,ZN-S3-PP----
666,*,advertised,ZA----PA----
673,*,advertized,ZA----PA----
706,*,affecting,ZN-S3-PP----
715,*,affiliating,ZA----PP----
721,*,affirming,ZN-S3-PP----
732,*,afflicting,ZN-S3-PP----
738,*,affording,ZN-S3-PP----
773,*,agglomerated,ZA----PA----
779,*,agglutinated,ZA----PA----
801,*,aggrieved,ZA----PA----
814,*,agonised,ZA----PA----
